wavenumber_cm-1,实验：SDBS 粉末 Raman,"参考理论：ORCA B3LYP/6-31+G(d,p)",构型 1：Gaussian B3LYP/6-31G(d),构型 2：Gaussian B3LYP/6-31G(d),二聚体：Gaussian B3LYP/6-31G(d)
284.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000833
285.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000533
286.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000337
287.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000210
288.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000129
289.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000078
290.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000047
291.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000027
292.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000016
293.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000009
294.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000005
295.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000003
296.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000002
297.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000001
298.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
299.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
300.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
301.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
302.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
303.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
304.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
305.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
306.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
307.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
308.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
309.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
